side,price,total_qty
BID,9984,1
BID,9983,17
BID,9982,78
BID,9981,80
BID,9980,37
BID,9979,43
BID,9978,6
BID,9977,188
BID,9976,76
BID,9973,614
BID,9972,1926
BID,9971,8229
BID,9970,27466
BID,9969,24836
BID,9968,25227
BID,9967,26562
BID,9966,23978
BID,9965,23705
BID,9964,22302
BID,9963,24451
BID,9962,24896
BID,9961,26206
BID,9960,23042
BID,9959,24463
BID,9958,26356
BID,9957,26112
BID,9956,25282
BID,9955,27672
BID,9954,24012
BID,9953,27469
BID,9952,28340
BID,9951,25172
BID,9950,22607
ASK,10006,31
ASK,10029,9645
ASK,10030,24416
ASK,10031,25624
ASK,10032,25191
ASK,10033,24330
ASK,10034,24062
ASK,10035,24548
ASK,10036,25797
ASK,10037,25768
ASK,10038,25013
ASK,10039,22920
ASK,10040,25628
ASK,10041,25560
ASK,10042,26655
ASK,10043,24739
ASK,10044,26114
ASK,10045,23038
ASK,10046,26860
ASK,10047,24865
ASK,10048,24056
ASK,10049,27381
ASK,10050,26791
